Source;Target;Label;Weight
0;;_ZN9LAMMPS_NS6Memory23destroy_3d_double_arrayEPPPd;3
0;;_ZN9LAMMPS_NS6Memory22create_3d_double_arrayEiiiPKc;3
0;0;_ZN9LAMMPS_NS7PairEAM11interpolateEidPdPS1_;3
0;;_ZN9LAMMPS_NS6Memory19create_2d_int_arrayEiiPKc;3
0;;_Znaj;3
0;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;2
0;;_ZN9LAMMPS_NS6Memory5sfreeEPv;18
0;;_ZN9LAMMPS_NS4PairC2EPNS_6LAMMPSE;2
0;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;21
0;;_ZN9LAMMPS_NS6Memory20destroy_2d_int_arrayEPPi;9
0;;_ZdlPv;7
0;;_ZN9LAMMPS_NS6Memory23destroy_3d_double_arrayEPPPd;18
0;;_ZN9LAMMPS_NS4PairD2Ev;6
0;;_Unwind_Resume;3
0;;_ZdaPv;27
0;0;_ZN9LAMMPS_NS7PairEAM12array2splineEv;1
0;;_ZN9LAMMPS_NS8Neighbor7requestEPv;1
0;;fgets;3
0;;_ZN9LAMMPS_NS5Error3oneEPKc;1
0;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;3
0;;MPI_Bcast;12
0;;sscanf;2
0;;fopen;1
0;;sprintf;1
0;0;_ZN9LAMMPS_NS7PairEAM4grabEP8_IO_FILEiPd;3
0;;fclose;1
0;;_ZN9LAMMPS_NS4Pair8ev_tallyEiiiidddddd;1
0;;sqrt;2
0;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
0;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
0;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
0;;_ZN9LAMMPS_NS4Comm17reverse_comm_pairEPNS_4PairE;1
0;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
0;;_ZN9LAMMPS_NS4Pair8ev_setupEii;1
0;;strtod;2
0;;_ZN9LAMMPS_NS5Error3allEPKc;1
0;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;3
0;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;3
0;;fgets;1
0;;strtok;2
0;;sqrt;1
0;;_Znaj;1
0;;strcpy;1
0;0;_ZN9LAMMPS_NS7PairEAM8allocateEv;1
0;;_ZN9LAMMPS_NS4Atom8set_massEid;1
0;;_ZN9LAMMPS_NS5Force6boundsEPciRiS2_;2
0;;_ZN9LAMMPS_NS6Memory8sreallocEPviPKc;1
0;;strcmp;1
0;;_ZN9LAMMPS_NS5Error3allEPKc;2
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;_ZN9LAMMPS_NS4Pair8ev_tallyEiiiidddddd;1
1;;sqrt;2
1;;free;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;malloc;3
1;;_ZN9LAMMPS_NS4Pair8ev_tallyEiiiidddddd;1
1;;sqrt;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;_ZN9LAMMPS_NS4Comm17reverse_comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;free;2
1;;malloc;3
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS4Comm17reverse_comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;sqrt;2
1;;free;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;malloc;3
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;sqrt;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;free;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;malloc;3
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;_ZN9LAMMPS_NS4Pair8ev_tallyEiiiidddddd;1
1;;sqrt;2
1;;free;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;malloc;3
1;;_ZN9LAMMPS_NS4Pair8ev_tallyEiiiidddddd;1
1;;sqrt;2
1;;_ZN9LAMMPS_NS6Memory7smallocEiPKc;2
1;;_ZN9LAMMPS_NS4Pair14virial_computeEv;1
1;;_ZN9LAMMPS_NS6Memory5sfreeEPv;2
1;;_ZN9LAMMPS_NS4Comm17reverse_comm_pairEPNS_4PairE;2
1;;_ZN9LAMMPS_NS4Comm9comm_pairEPNS_4PairE;2
1;;free;2
1;;malloc;3
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi1ELi0ELi0EEEvv;1
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi1ELi0ELi1EEEvv;1
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi0ELi0ELi1EEEvv;1
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi0ELi0ELi0EEEvv;1
1;;_ZN9LAMMPS_NS4Pair8ev_setupEii;1
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi1ELi1ELi1EEEvv;1
1;1;_ZN9LAMMPS_NS10PairEAMOpt4evalILi1ELi1ELi0EEEvv;1
1;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
1;;_ZdlPv;1
1;;_ZN9LAMMPS_NS7PairEAMC2EPNS_6LAMMPSE;1
2;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;3
2;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;3
2;;_Znwj;1
2;0;_ZN9LAMMPS_NS7PairEAM8allocateEv;1
2;;_ZdaPv;3
2;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;2
2;;_ZdlPv;1
2;;_ZN9LAMMPS_NS6Memory23destroy_3d_double_arrayEPPPd;1
2;;_ZN9LAMMPS_NS4Atom8set_massEid;1
2;;strcmp;1
2;;_ZN9LAMMPS_NS5Error3allEPKc;4
2;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
2;;_ZdlPv;1
2;;_ZN9LAMMPS_NS7PairEAMC2EPNS_6LAMMPSE;1
2;;_Znaj;4
2;;strcpy;1
2;;fgets;6
2;;_ZN9LAMMPS_NS5Error3oneEPKc;1
2;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;2
2;;MPI_Bcast;12
2;;sscanf;3
2;;_ZdaPv;1
2;;fopen;1
2;;sprintf;1
2;;fclose;1
2;;strtok;2
2;;_ZN9LAMMPS_NS4Atom11count_wordsEPKc;1
2;;_ZN9LAMMPS_NS6Memory22create_3d_double_arrayEiiiPKc;1
2;0;_ZN9LAMMPS_NS7PairEAM4grabEP8_IO_FILEiPd;3
2;;_ZN9LAMMPS_NS5Error3allEPKc;1
3;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
3;;_ZdlPv;1
3;;_Unwind_Resume;1
3;;_ZN9LAMMPS_NS7PairEAMD2Ev;3
3;;_ZdlPv;1
3;;_ZN9LAMMPS_NS10PairEAMOptC2EPNS_6LAMMPSE;2
3;;_ZN9LAMMPS_NS7PairEAMC2EPNS_6LAMMPSE;1
3;;_Unwind_Resume;1
3;;_ZN9LAMMPS_NS9PairEAMFSC2EPNS_6LAMMPSE;2
3;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
3;;_ZdlPv;1
4;;_ZN9LAMMPS_NS7PairEAMD2Ev;3
4;;_ZdlPv;1
4;;_ZN9LAMMPS_NS12PairEAMAlloyC2EPNS_6LAMMPSE;2
4;;_ZN9LAMMPS_NS10PairEAMOptC2EPNS_6LAMMPSE;2
4;;_ZN9LAMMPS_NS7PairEAMC2EPNS_6LAMMPSE;1
4;;_Unwind_Resume;1
4;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
4;;_ZdlPv;1
4;;_Unwind_Resume;1
4;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
4;;_ZdlPv;1
5;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;3
5;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;3
5;;_ZN9LAMMPS_NS7PairEAMD2Ev;2
5;;_ZdlPv;1
5;;_ZN9LAMMPS_NS7PairEAMC2EPNS_6LAMMPSE;1
5;;_Znwj;1
5;0;_ZN9LAMMPS_NS7PairEAM8allocateEv;1
5;;_ZdaPv;3
5;;_ZN9LAMMPS_NS6Memory23destroy_2d_double_arrayEPPd;1
5;;_ZdlPv;1
5;;_ZN9LAMMPS_NS6Memory23destroy_3d_double_arrayEPPPd;2
5;;_ZN9LAMMPS_NS4Atom8set_massEid;1
5;;strcmp;1
5;;_ZN9LAMMPS_NS5Error3allEPKc;4
5;;_Znaj;4
5;;strcpy;1
5;;fgets;6
5;;_ZN9LAMMPS_NS5Error3oneEPKc;1
5;;_ZN9LAMMPS_NS6Memory22create_2d_double_arrayEiiPKc;1
5;;MPI_Bcast;12
5;;sscanf;3
5;;_ZdaPv;1
5;;fopen;1
5;;sprintf;1
5;;fclose;1
5;;strtok;2
5;;_ZN9LAMMPS_NS4Atom11count_wordsEPKc;1
5;;_ZN9LAMMPS_NS6Memory22create_3d_double_arrayEiiiPKc;2
5;0;_ZN9LAMMPS_NS7PairEAM4grabEP8_IO_FILEiPd;3
5;;_ZN9LAMMPS_NS5Error3allEPKc;1
